"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
596,"NCT02624401","The Neural Mechanisms of Anesthesia and Human Consciousness (Part 6)",,"Completed","No Results Available","Anesthesia|Unconsciousness","Drug: Dexmedetomidine|Drug: Propofol|Drug: S-ketamine|Drug: Sevoflurane|Drug: Placebo","Regional cerebral metabolism of glucose|EEG|Immunological effects|Metabolomic effects|Gene expression|Psychological well-being|Dream report","University of Turku|University of California, Irvine|University of Michigan|Yale University|Helsinki University","Male","18 Years to 30 Years   (Adult)","Phase 4","160","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","LOC-2016","January 2016","March 13, 2017","March 13, 2017","December 8, 2015","null","March 27, 2017","Turku PET Centre, Turku, Finland","","https://ClinicalTrials.gov/show/NCT02624401"
597,"NCT03493516","Prediction of ARrhythmic Events With Positron Emission Tomography II","PAREPET II","Recruiting","No Results Available","Sudden Cardiac Arrest|Ischemic Cardiomyopathy|Congestive Heart Failure","Diagnostic Test: PET scan quantifying sympathetic denervation using [18F]-LMI1195","Sudden Cardiac Arrest Events","State University of New York at Buffalo|National Heart, Lung, and Blood Institute (NHLBI)|Lantheus Medical Imaging","All","18 Years and older   (Adult, Older Adult)","","302","Other|NIH|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","HL-130266|R01HL130266-01","April 8, 2018","December 31, 2022","December 31, 2023","April 10, 2018","null","April 10, 2018","University at Buffalo Clinical and Translational Research Center, Buffalo, New York, United States","","https://ClinicalTrials.gov/show/NCT03493516"
598,"NCT03239561","Evaluation of Tau Protein in the Brain of Participants With Alzheimer's Disease Compared to Healthy Participants",,"Recruiting","No Results Available","Alzheimer Disease","Drug: [18F]MNI-1020","Standardized Uptake Value Ratio (SUVR) of [18F]MNI-1020|Plasma Concentration of 18F]MNI-1020 in AD Participants Compared With age Matched Healthy Participants|Number of Participants With Adverse Events|Distribution of tau (Using [18F]MNI-1020) Compared to Amyloid Beta (Using Florbetapir) in Participants With Probable AD","Janssen Research & Development, LLC","All","50 Years and older   (Adult, Older Adult)","Early Phase 1","6","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","CR108349|64326067EDI0001","September 6, 2017","April 30, 2018","April 30, 2018","August 4, 2017","null","April 5, 2018","Molecular NeuroImaging, New Haven, Connecticut, United States","","https://ClinicalTrials.gov/show/NCT03239561"
599,"NCT01565369","Evaluation of Physician Training Methods to Read Florbetapir-PET Scans",,"Completed","Has Results","Alzheimer's Disease","Drug: florbetapir F 18","Sensitivity of Florbetapir PET Scans to Detect Moderate to Frequent Amyloid Plaque|Specificity of Florbetapir PET Scans to Detect Moderate to Frequent Amyloid Plaque|Inter-reader Agreement","Avid Radiopharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Not Applicable","35","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic","18F-AV-45-A08","January 2011","January 2011","January 2011","March 28, 2012","June 7, 2012","June 7, 2012","","","https://ClinicalTrials.gov/show/NCT01565369"
600,"NCT01554202","Multi-modal Neuroimaging in Alzheimer's Disease","IMAP","Active, not recruiting","No Results Available","Alzheimer's Disease","Behavioral: assessment of memory|Biological: circulating tPA dosage|Genetic: ApoE4|Other: Brain imaging examination MRI and PET examinations","Rate of volume change of whole brain, hippocampus and other structural MRI measures|Rate of Decline as measured by: Cognitive Tests, Activities of Daily Living, and CDR Sum of Boxes|Rates of change on each specified biochemical biomarker|Rates of change of glucose metabolism (FDG-PET)|Extent of amyloid deposition as measured by 18F-AV45|Group differences for each imaging and biomarker measurement|APOE genotype","University Hospital, Caen|Institut National de la Santé Et de la Recherche Médicale, France","All","18 Years and older   (Adult, Older Adult)","Not Applicable","295","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","2007-A00414-49","January 2008","December 2021","null","March 14, 2012","null","March 6, 2013","University Hospital Côte de Nacre, Caen, France|University Hospital Roger Salengro, Lille, France|University Hospital Pontchaillou, Rennes, France|University Hospital Rouen, Rouen, France|University Hospital Tours, Tours, France","","https://ClinicalTrials.gov/show/NCT01554202"
601,"NCT02971319","Technical Performance Assessment of Tc-99m Tetrofosmin for Differentiation of Recurrence vs Radiation Necrosis in Patients With Glioma",,"Completed","No Results Available","Glioma (Diagnosis)","Device: Tc-99M-Tetrofosmin SPECT|Device: F-18 FDG PET","Technical performance of Tc-99m tetrofosmin SPECT","Proactina S.A.|ConsulTech GmbH|pharmtrace|Pharmathen S.A.","All","18 Years and older   (Adult, Older Adult)","Phase 2","32","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","Gliomark","September 2016","November 17, 2017","December 17, 2017","November 22, 2016","null","January 26, 2018","Service de Neurologie Mazarin Hôpital Pitié-Salpêtrière, Paris, France|Országos Klinikai Idegtudományi Intézet (OKITI), Budapest, Hungary|Országos Onkológiai Intézet, Budapest, Hungary|Pozitron-Diagnosztika Ltd., Budapest, Hungary|Scanomed Budapest, Budapest, Hungary|Uzsoki Utcai Kórház, Budapest, Hungary|Debreceni Egyetem Orvos- és Egészségtudományi Centrum, Debrecen, Hungary|Scanomed Debrecen, Debrecen, Hungary|Pécsi Tudományegyetem, Általános, Pecs, Hungary","","https://ClinicalTrials.gov/show/NCT02971319"
602,"NCT00686504","Positron Emission Tomography (PET) Study With [11C]AZ12713580 to Determine Central mGluR5 Receptor Occupancy of AZD2066","PET","Completed","No Results Available","Healthy","Drug: AZD2066|Drug: radioligand [11C] AZ12713580","Positron emission tomography using the radioligand radioligand [11C]AZ12713580|To investigate the safety and tolerability of AZD2066 by assessment of Adverse Events (AEs), vital signs measurements (blood pressure and pulse), electrocardiogram (ECG), physical examination, clinical chemistry, haematology and urinalysis.|To investigate pharmacokinetics of AZD2066","AstraZeneca","All","20 Years to 45 Years   (Adult)","Phase 1","6","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","D0475C00013|EudractCT 2008-000064-17","April 2008","June 2008","June 2008","May 29, 2008","null","December 10, 2010","Research Site, Stockholm, Sweden","","https://ClinicalTrials.gov/show/NCT00686504"
603,"NCT02441062","Impact of Ga-68 DOTATOC PET-CT Imaging in Management of Neuroendocrine Tumors",,"Recruiting","No Results Available","Neuroendocrine Tumors|Carcinoid Tumors|Neuroblastoma|Medulloblastoma","Drug: 68Ga-DOTATOC PET/CT","Evaluate impact of 68Gallium-DOTATOC PET/CT imaging on tumor management","Sue O'Dorisio|University of Iowa Foundation|University of Iowa","All","6 Months and older   (Child, Adult, Older Adult)","Phase 2","200","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","201503708","September 2015","June 2019","June 2021","May 12, 2015","null","August 22, 2018","University of Iowa Hospitals and Clinics, Iowa City, Iowa, United States","","https://ClinicalTrials.gov/show/NCT02441062"
604,"NCT01859767","Efficacy and Safety of MNI-672 SPECT for Detection/Exclusion of Cerebral B-amyloid in AD Subjects Compared to HVs.",,"Completed","No Results Available","Alzheimer's Disease","Drug: [123I]MNI-672 SPECT","Number of subjects with adverse events|Clinically significant changes in vital signs|Total I-123 radioactivity in plasma|Standard uptake values (SUV)|Visual analysis","Molecular NeuroImaging","All","20 Years and older   (Adult, Older Adult)","Phase 1","6","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)","MNI-672-01","April 2013","March 2015","April 2015","May 22, 2013","null","December 16, 2016","Molecular NeuroImaging, LLC, New Haven, Connecticut, United States","","https://ClinicalTrials.gov/show/NCT01859767"
605,"NCT03001349","An Expanded Access Imaging of Neuroendocrine Tumors Using 68Ga-DOTA-TOC",,"No longer available","No Results Available","Malignant Neoplasms of Digestive Organs|Neuroendocrine Tumor|Malignant Neoplasms of Eye Brain and Other Parts of Central Nervous System","Drug: 68Ga-DOTATOC|Procedure: PET/CT","","M.D. Anderson Cancer Center","All","Child, Adult, Older Adult","","null","Other","Expanded Access","","2016-0030","null","null","null","December 23, 2016","null","June 21, 2018","University of Texas MD Anderson Cancer Center, Houston, Texas, United States","","https://ClinicalTrials.gov/show/NCT03001349"
606,"NCT00343070","Functional Neuroimaging in Depression",,"Completed","No Results Available","Major Depression","Drug: Oral administration of escitalopram during 8 weeks","Brain metabolism|Cognitive functions|Efficacy scales (mood, anxiety, anger and hopelessness)","University Hospital, Ghent|Fund for Scientific Research, Flanders, Belgium|H. Lundbeck A/S","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","40","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2006/176","March 2007","October 2009","October 2009","June 22, 2006","null","August 31, 2010","University Hospital Ghent, Ghent, Belgium|AZ Groeninge campus Sint Maarten, Kortrijk, Belgium","","https://ClinicalTrials.gov/show/NCT00343070"
607,"NCT03082768","Phase 0 Study of [18F]MNI-968 as a Marker for D1 Receptor in Healthy Subjects",,"Completed","No Results Available","Healthy Volunteers","Drug: [18F]MNI-968","Tracer uptake will be evaluated in regions of interest for analysis of regional [18F]MNI-968 binding/uptake and expressed in SUV by using established methods for normalization for 7 HV subjects.","Molecular NeuroImaging","All","18 Years to 50 Years   (Adult)","Early Phase 1","6","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","[18F]MNI-968","March 3, 2017","March 1, 2018","March 1, 2018","March 17, 2017","null","March 6, 2018","Molecular NeuroImaging, LLC, New Haven, Connecticut, United States","","https://ClinicalTrials.gov/show/NCT03082768"
608,"NCT03218332","Post-Concussion Syndrome in Professional Athletes: A Multidisciplinary Study",,"Recruiting","No Results Available","Chronic Traumatic Encephalopathy","Diagnostic Test: Biomarkers for detecting possible CTE invivo","Biomarkers for possible CTE","University Health Network, Toronto|The Weston A. Price Foundation","Male","25 Years to 85 Years   (Adult, Older Adult)","","150","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","11-0088-B","July 4, 2011","December 30, 2017","December 30, 2020","July 14, 2017","null","July 14, 2017","Canadian Concussion Centre, Toronto Western Hospital, University Health Network, Toronto, Ontario, Canada","","https://ClinicalTrials.gov/show/NCT03218332"
609,"NCT02538315","Using [18F]FDOPA PET/CT to Monitor the Effectiveness of Fetal Dopaminergic Grafts in Parkinson Disease Patients",,"Recruiting","No Results Available","Parkinson`s Disease","Drug: [18F]FDOPA PET/CT","Differences (assessed by standard uptake values (SUV)) between pre and post-surgical nigrostriatal uptake of [18F]FDOPA","University of Saskatchewan|University of Manitoba","All","18 Years and older   (Adult, Older Adult)","","30","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","Bio 15-21","October 2016","September 2018","September 2018","September 2, 2015","null","May 3, 2017","University Of Saskatchewan, Saskatoon, Saskatchewan, Canada","","https://ClinicalTrials.gov/show/NCT02538315"
610,"NCT02516046","18F-AV-1451 Autopsy Study",,"Completed","No Results Available","Alzheimer's Disease","Drug: 18F-AV-1451","Diagnostic Performance Individual Readers (NFT Score)|Diagnostic Performance Individual Readers (NIA-AA Autopsy Diagnosis)|Diagnostic Performance (NFT Score)|Diagnostic Performance (NIA-AA Autopsy Diagnosis)|Inter-Reader Agreement (NFT Score)|Inter-Reader Agreement (NIA-AA Autopsy Diagnosis)","Avid Radiopharmaceuticals","All","50 Years and older   (Adult, Older Adult)","Phase 3","156","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","18F-AV-1451-A16","September 2015","June 13, 2018","July 15, 2018","August 5, 2015","null","July 23, 2018","Banner Alzheimer's Institute, Phoenix, Arizona, United States|St. Joseph's Hospital and Medical Center, Phoenix, Arizona, United States|Cherlin Research, Los Gatos, California, United States|Hoag Memorial Hospital Presbyterian, Newport Beach, California, United States|California Research Foundation, San Diego, California, United States|Pacific Research Network, San Diego, California, United States|Ray Dolby Brain Health Center, San Francisco, California, United States|Syrentis Clinical Research, Santa Ana, California, United States|Neuropsychiatric Research Center of Southwest Florida, Fort Myers, Florida, United States|Galiz Research, Hialeah, Florida, United States|Merritt Island Medical Research, Merritt Island, Florida, United States|Miami Jewish Health Systems, Miami, Florida, United States|D de la Vega MD Research Group, Miami, Florida, United States|Bioclinica, Orlando, Florida, United States|Emory University Brain Health Center, Atlanta, Georgia, United States|Alzheimer's Disease Center, Quincy, Massachusetts, United States|Steinberg Diagnostics, Henderson, Nevada, United States|Adirondack Medical Research Center, Glens Falls, New York, United States|Clarity Clinical Research, LLC, Syracuse, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Wake Forest School of Medicine, Winston-Salem, North Carolina, United States|Valley Medical Primary Care, Centerville, Ohio, United States|Hospice of the Western Reserve, Cleveland, Ohio, United States|American Clinical Trials, LLC (Site 1216), Oklahoma City, Oklahoma, United States|Oklahoma Behavioral Health, Oklahoma City, Oklahoma, United States|Rhode Island Hospital, Providence, Rhode Island, United States|Houston Methodist Research Institute, Houston, Texas, United States|Sante Clinical Research, Kerrville, Texas, United States|Overlake Internal Medicine Associates, PS, Bellevue, Washington, United States|University of Washington Medicine, Seattle, Washington, United States|University of Melbourne, Parkville, Victoria, Australia","","https://ClinicalTrials.gov/show/NCT02516046"
611,"NCT01877538","Study to Investigate the Ability of [11C]Donepezil PET to Image the Parasympathetic Nervous System",,"Completed","Has Results","Parkinson's Disease","Other: [11C]donepezil PET","Distribution Volume (DV) of [11C]Donepezil - BASELINE|Standard Uptake Value (SUV) of [11C]Donepezil - BASELINE","Per Borghammer|Lundbeck Foundation|University of Aarhus","Male","45 Years to 75 Years   (Adult, Older Adult)","","7","Other","Observational","Time Perspective: Cross-Sectional","01-01","May 2013","July 2013","July 2013","June 13, 2013","March 23, 2016","March 23, 2016","Dep. of Nuclear Medicine and PET centre, Aarhus University Hospital, Aarhus, Denmark","","https://ClinicalTrials.gov/show/NCT01877538"
612,"NCT02210624","Safety and Efficacy Assessment of Autologous Bone-marrow Derived Adult Mesenchymal Stem Cell Therapy in Patients With Anoxic(or Hypoxic) Brain Injury Pilot Trial",,"Recruiting","No Results Available","Anoxic Brain Injury","Biological: HYNR-CS inj.","safety assessment|Glasgow Coma Scale(GCS)|FOUR score|Functional Independence Measure(FIM)|Disability Rating Scale(DRS)|Cerebral Performance Category(CPC)scale","Hyun Young Kim|Hanyang University Seoul Hospital","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","4","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HYNR_CS_ABI001","March 2013","December 2018","December 2018","August 7, 2014","null","August 10, 2017","Hanyang University Hospital, Seoul, Korea, Republic of","","https://ClinicalTrials.gov/show/NCT02210624"
613,"NCT01105988","Evaluating Tumor Pseudoprogression With FLT-PET and MRI",,"Terminated","No Results Available","Glioblastoma","Other: Radiologic exams","Primary Outcome Measure|Secondary Outcome Measure","Massachusetts General Hospital|Dana-Farber Cancer Institute","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","2","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","10-008","May 2011","October 2011","October 2011","April 19, 2010","null","January 6, 2012","Massachusetts General Hospital, Boston, Massachusetts, United States","","https://ClinicalTrials.gov/show/NCT01105988"
614,"NCT01132898","Long-term Clinical Correlates of Traumatic Brain Injury",,"Recruiting","No Results Available","Traumatic Brain Injury","","To observe changes in the TBI Common Data Elements over time|Changes in other clinical phenotyping measures over time|Changes in MRI findings over time","National Institutes of Health Clinical Center (CC)|Center for Neuroscience and Regenerative Medicine (CNRM)|United States Department of Defense","All","18 Years and older   (Adult, Older Adult)","","480","NIH|U.S. Fed","Observational","Observational Model: Cohort|Time Perspective: Prospective","100118|10-CC-0118","May 7, 2010","null","null","May 28, 2010","null","August 9, 2018","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT01132898"
615,"NCT03093064","Inflammatory Response In Schizophrenia","IRIS","Active, not recruiting","No Results Available","Schizophrenia","Drug: Natalizumab|Other: Placebo: normal saline","Change in Translocator Protein (TSPO) availability pre- and post-natalizumab or placebo administration|Correlation of TSPO availability with brain functional measures at baseline.|Correlation of cerebrospinal fluid (CSF) inflammatory markers with brain functional measures at baseline.|Correlation of blood inflammatory markers with brain functional measures at baseline.|Longitudinal change in TSPO availability correlated with longitudinal change in brain functional measures.","King's College London|South London and Maudsley NHS Foundation Trust","All","18 Years to 50 Years   (Adult)","Phase 1","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science","208083","April 1, 2017","April 1, 2022","April 1, 2022","March 28, 2017","null","August 18, 2017","Institute of Psychiatry, Psychology and Neuroscience, King's College London, London, United Kingdom","","https://ClinicalTrials.gov/show/NCT03093064"
616,"NCT01854944","PET Trial to Assess the Receptor Occupancy of Brexpiprazole in Adult Subjects With Schizophrenia",,"Completed","Has Results","Schizophrenia","Drug: Brexpiprazole 1mg to 4mg","Change in Percentage Dopamine D2/D3 Receptor Occupancy|Change in Percentage 5-HT1A Receptor Occupancy|Change in Percentage 5-HT2A Receptor Occupancy|Change in Occupancy at Serotonin Transporter (SERT)|Area Under the Concentration-time Curve (AUCτ) During a Dosing Interval at Steady-state for Brexpiprazole and Its Metabolite DM-3411|Peak (Maximal) Concentration of Drug in Plasma (Cmax) for Brexpiprazole and Its Metabolite DM-3411|Apparent Clearance of Drug From Plasma After Extravascular Administration (CL/F; Only Brexpiprazole)|Time to Maximum (Peak) Plasma Concentration (Tmax) for Brexpiprazole and Its Metabolite DM-3411|Mean Change From Baseline in Abnormal Involuntary Movement Scale (AIMS) Score|Mean Change From Baseline in Simpson-Angus Scale (SAS) Total Score|Mean Change From Baseline in Barnes Akathisia Rating Scale (BARS) Score|Percentage of Participants Who Reported at Least One Occurrence of Suicidality, Suicidal Behavior and Suicidal Ideation on the Columbia-Suicide Severity Rating Scale (C-SSRS)|Mean Change From Baseline in Positive and Negative Symptom Scale (PANSS) Total Score|Mean Change From Baseline in PANNS Positive Subscale Score|Mean Change From Baseline in PANSS Negative Subscale Score|Mean Change From Baseline in Clinical Global Impression-Severity (CGI-S) Score|Mean Change From Baseline in Clinical Global Impression-Improvement (CGI-I) Score","Otsuka Pharmaceutical Development & Commercialization, Inc.","All","18 Years to 45 Years   (Adult)","Phase 1","12","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","331-09-219","September 2013","July 2014","August 2014","May 16, 2013","February 4, 2016","February 4, 2016","Columbia University, New York, New York, United States","","https://ClinicalTrials.gov/show/NCT01854944"
617,"NCT03100136","Test Re-Test Reliability of [11C]PF-06809247 as a Novel PET Tacer",,"Completed","No Results Available","Neuroinflammation","Drug: [11C]PF-06809247","binding kinetics of the novel tracer|Change in Number of Participants with Adverse Events as a Measure of Safety and Tolerability|Test - Retest reliability|Change in Physical examination|Change in Neurological Exam|Change in 12-lead ECG (electrocardiogram)|Change in Vital signs|Change in Clinical laboratory tests (haematology: haemoglobin; haematocrit/erythrocytes; haemoglobin/erythroctes; Erythro-, leuco-,lympho-, mono-Cytes; Platelets)","Pfizer","Male","18 Years to 55 Years   (Adult)","Phase 1","7","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","A9001493|PET TRACER METHODOLOGY","November 16, 2016","March 10, 2017","March 10, 2017","April 4, 2017","null","April 4, 2017","Pfizer New Haven Clinical Research Unit, New Haven, Connecticut, United States|Anylan Center, New Haven, Connecticut, United States|Yale University School of Medicine, New Haven, Connecticut, United States","","https://ClinicalTrials.gov/show/NCT03100136"
618,"NCT02709356","Medium Chain Triglycerides and Brain Metabolism in Alzheimer's Disease","MCT-MA","Recruiting","No Results Available","Alzheimer's Disease","Dietary Supplement: 1-month of 60-40 MCT oil|Dietary Supplement: 1-month of C8 MCT oil","Quantification of brain glucose uptake|Quantification of brain acetoacetate uptake","Université de Sherbrooke|Fondation Vitae","All","65 Years and older   (Older Adult)","Not Applicable","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","2016-547","October 2015","December 2018","December 2018","March 16, 2016","null","December 21, 2017","Research Centre on Aging (CSSS-IUGS - CIUSSS de l'Estrie - CHUS), Sherbrooke, Quebec, Canada","","https://ClinicalTrials.gov/show/NCT02709356"
619,"NCT02012595","[11C]Donepezil PET For Imaging The Autonomous Nervous System In Parkinsons Disease",,"Completed","No Results Available","Parkinson's Disease","Other: [11C]donepezil PET","Distribution volume of [11C]donepezil in internal organs","Per Borghammer|Lundbeck Foundation|Jascha Fonden|Fonden af 2. Juli 1984 til bekæmpelse af Parkinsons Sygdom, Denmark|University of Aarhus","All","40 Years to 80 Years   (Adult, Older Adult)","","24","Other","Observational","Observational Model: Case Control|Time Perspective: Cross-Sectional","2013-01|2013-003775-35","October 2013","January 2015","January 2015","December 16, 2013","null","June 2, 2015","Dept. of Nuclear Medicine & PET Center, Aarhus University Hospital, Aarhus, Denmark","","https://ClinicalTrials.gov/show/NCT02012595"
620,"NCT01923025","A PET Study With RO5545965 in Healthy Male Volunteers",,"Completed","No Results Available","Schizophrenia","Drug: RO5545965","Pharmacodynamics: Brain PDE10 occupancy by RO5545965|PK/PD: Brain PDE10 inhibition in relationship to RO5545965 plasma concentrations|Safety: Incidence of adverse events|Pharmacokinetics: Plasma concentrations of RO5545965","Hoffmann-La Roche","Male","25 Years to 50 Years   (Adult)","Phase 1","9","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)","BP28844|2013-000538-36","August 2013","November 2013","November 2013","August 14, 2013","null","November 2, 2016","London, United Kingdom","","https://ClinicalTrials.gov/show/NCT01923025"
621,"NCT00001489","Effect of Vigabatrin on Brain Blood Flow and Glucose Metabolism",,"Completed","No Results Available","Epilepsy|Epilepsy, Complex Partial","","","National Institute of Neurological Disorders and Stroke (NINDS)|National Institutes of Health Clinical Center (CC)","All","Child, Adult, Older Adult","","20","NIH","Observational","","950008|95-N-0008","October 1994","null","August 2000","December 10, 2002","null","March 4, 2008","National Institute of Neurological Disorders and Stroke (NINDS), Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT00001489"
622,"NCT01296802","Investigation of Serotonin Neurotransmission in MDMA Users Using Combinated Dexfenfluramine Challenge and PET Imaging","DEXFEN_PET","Completed","No Results Available","Amphetamine-Related Disorders|Amphetamine Abuse","Drug: dexfenfluramine","Serotonin release capacity|Cognition|Prolactin and cortisol|Mood and mental state","University of Zurich","Male","18 Years to 45 Years   (Adult)","Not Applicable","50","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science","PUK_Study_72","April 2006","July 2008","July 2008","February 15, 2011","null","December 15, 2011","University Hospital of Psychiatry Zurich, Zurich, ZH, Switzerland","","https://ClinicalTrials.gov/show/NCT01296802"
623,"NCT01283347","18F-DTBZ for l Diagnosis of Parkinson's Disease and Monitoring the Severity of Disease by VMAT2 PET Imaging","8F-DTBZ","Completed","No Results Available","Parkinson's Disease","Drug: 18F-DTBZ","To evaluate the sensitivity and specificity of 18F-DTBZ PET to the differential diagnosis of PD and normality for drug safety assessment|To analyze the correlation between the regionally reduced 18F-DTBZ binding and the severity of disease of PD.","Chang Gung Memorial Hospital","All","50 Years to 80 Years   (Adult, Older Adult)","Phase 2","100","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","98-2160A","May 2010","April 2012","December 2012","January 26, 2011","null","December 27, 2012","Chang Gung Memory Hpspital, Taoyuan, Taiwan","","https://ClinicalTrials.gov/show/NCT01283347"
624,"NCT01813877","Response Monitoring Trial in Patients With Suspected Recurrence of Glioblastoma",,"Recruiting","No Results Available","Glioma|Glioblastoma","Radiation: FDOPA PET/CT","Diagnostic accuracy compared to standard diagnostics without PET|Impact of FDOPA PET on patient management","Jonsson Comprehensive Cancer Center|Kaiser Permanente|The Methodist Hospital System","All","18 Years to 99 Years   (Adult, Older Adult)","Not Applicable","360","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","FDOPA12-000939","September 22, 2012","September 22, 2018","September 22, 2020","March 19, 2013","null","November 30, 2017","UCLA, Los Angeles, California, United States","","https://ClinicalTrials.gov/show/NCT01813877"
625,"NCT02371031","FDOPA-PET/MRI for the Pre-operative Evaluation of Gliomas",,"Terminated","No Results Available","Glioma|Malignant Glioma","Drug: 6-[F-18]-Fluoro-L-3,4,-dihydroxyphenylalanine|Device: PET/MRI|Procedure: Surgical resection (standard of care)","Percentage of cases in which the addition of FDOPA-PET to MRI changes the surgical plan","Washington University School of Medicine","All","18 Years and older   (Adult, Older Adult)","Phase 1","11","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","201502019","March 2015","July 2016","July 2016","February 25, 2015","null","November 30, 2016","Washington University School of Medicine, St. Louis, Missouri, United States","","https://ClinicalTrials.gov/show/NCT02371031"
626,"NCT03106688","Neuromolecular Risk Factors for Obesity (PROSPECT)",,"Recruiting","No Results Available","Obesity","Diagnostic Test: fMRI imaging|Diagnostic Test: [11C]carfentanil PET scan|Diagnostic Test: [18F]FMPEP-d2 PET scan|Diagnostic Test: [18F]-FDG PET scan|Diagnostic Test: Physical activity measures and fitness tests|Diagnostic Test: Laboratory measurements|Diagnostic Test: Questionnaires|Diagnostic Test: Hyperinsulinemic euglycemic clamp","Neuromolecular risk score for weight gain|Localization of on-going neural activity during various cognitive and affective tasks|Brain and body glucose uptake|Brain and body CB1 availability|Brain MOR availability|Genes regulating MOR (OPRM1) and D2R (DRD2) expression|Genetic risk score from all known obesity-risk genes|Behavioural patterns involving dysfunctional reward learning and inhibitory control|Physical activity level|Maximal physical performance|Physical strength|BMI change in five years|Body adiposity","Turku University Hospital","Male","20 Years to 35 Years   (Adult)","Not Applicable","60","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","PROSPECT","April 4, 2017","December 1, 2022","December 1, 2022","April 10, 2017","null","May 1, 2017","Turku PET Centre (Turku University Hospital), Turku, Finland","","https://ClinicalTrials.gov/show/NCT03106688"
627,"NCT00026832","Examination of Brain Serotonin Receptors in Patients With Mood Disorders",,"Completed","No Results Available","Mood Disorder|Bipolar Disorder|Depression","","","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","18 Years to 60 Years   (Adult)","","214","NIH","Observational","","020047|02-M-0047","October 4, 2001","null","November 27, 2012","November 15, 2001","null","July 4, 2018","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT00026832"
